年月日,收盤價(元),成交量(千股),成交值(千元),外資買賣超市值(百萬),融資餘額(千元),融券餘額(千元)
2026/07/17,"42,671.27","18,244,071","1,333,156,652","-142,823.2","587,963,142","17,240,648.78"
2026/07/16,"45,624.98","10,374,680","933,180,942","-41,872.12","615,575,992","13,870,793.91"
2026/07/15,"45,631.59","10,421,924","1,024,385,500","-11,504.35","615,388,784","13,388,315.69"
2026/07/14,"44,737.95","15,548,656","1,245,206,538","-31,071.15","604,033,934","12,427,055.23"
2026/07/13,"45,380.52","11,168,410","1,067,662,107","-9,592.38","618,300,058","13,979,524.29"
2026/07/09,"45,354.61","10,483,502","996,789,429","-48,273.8","619,648,244","13,914,516.79"
2026/07/08,"45,734.41","11,331,191","1,004,560,446","-32,022.36","613,815,722","13,005,504.4"
2026/07/07,"45,479.11","15,447,467","1,228,119,421","-34,508.38","610,945,242","14,417,127.92"
2026/07/06,"46,556.39","12,910,602","1,064,431,906","-19,627.84","631,344,856","14,420,390.21"
2026/07/03,"46,780.62","12,189,040","1,078,028,137","-75,540.18","630,817,367","14,506,044.44"
2026/07/02,"46,744.16","11,740,053","1,083,583,417","-79,509.85","620,837,289","15,006,165.88"
2026/07/01,"47,018.99","14,683,404","1,367,817,795","24,024.84","609,502,407","15,575,059.73"
2026/06/30,"46,125.91","13,140,347","1,266,062,228","-15,671.77","611,652,207","15,614,679.02"
2026/06/29,"44,999.9","11,210,546","1,045,439,448","-2,816.8","594,229,687","16,095,081.52"
2026/06/26,"44,571.76","16,709,688","1,672,832,488","-108,102.9","590,926,517","16,866,511.16"
2026/06/25,"46,255.26","13,456,150","1,368,076,901","-40,182.05","611,000,560","16,800,703.71"
2026/06/24,"46,043.6","16,786,237","1,539,046,268","-151,109.35","607,456,271","16,308,493.17"
2026/06/23,"47,100.65","16,666,417","1,672,355,337","-30,186.92","593,930,024","18,006,035.26"
2026/06/22,"47,741.51","15,727,229","1,515,817,959","63,818.06","605,041,986","18,786,591.28"
2026/06/18,"46,465.2","16,336,544","1,606,195,402","5,537.02","593,046,092","18,014,608.1"
2026/06/17,"45,877.39","12,227,191","1,154,595,951","-23,706.1","584,760,128","16,244,967.71"
2026/06/16,"45,809.19","12,388,176","1,262,185,518","35,338.3","571,307,649","16,121,648.67"
2026/06/15,"45,396.99","12,695,045","1,115,744,351","33,512.39","571,904,853","15,737,931.69"
2026/06/12,"44,169.04","12,336,471","1,169,186,958","20,709.8","557,027,949","15,895,682.97"
2026/06/11,"43,149.46","14,433,302","1,338,516,691","-24,317.68","549,176,982","14,576,119.63"
2026/06/10,"43,225.54","15,773,244","1,424,069,567","-75,466.69","546,812,469","15,626,741.75"
2026/06/09,"44,704.44","14,106,451","1,224,062,987","-92,796.73","563,876,896","15,220,696.51"
2026/06/08,"43,502.78","14,641,525","1,216,574,603","-79,897.95","551,012,201","14,834,687.35"
2026/06/05,"45,070.94","16,019,783","1,319,821,926","-66,889.67","566,648,874","17,363,948.7"
2026/06/04,"45,677.46","16,812,445","1,325,597,743","-62,808.35","572,635,489","19,882,045.87"
2026/06/03,"46,459.16","18,516,900","1,517,535,663","39,531.96","568,395,179","21,100,524.33"
2026/06/02,"45,557.31","19,264,949","1,696,398,095","21,790.89","566,968,920","21,381,822.63"
2026/06/01,"45,337.91","17,539,429","1,611,133,989","35,392.77","565,779,103","22,405,122.15"
2026/05/29,"44,732.94","19,561,019","1,916,952,445","73,783.31","556,360,306","21,739,253.66"
2026/05/28,"43,636.44","19,686,100","1,670,718,874","-21,293.86","535,025,764","21,492,454.64"
2026/05/27,"44,256.8","18,565,348","1,630,077,580","30,751.44","536,269,185","22,202,754.89"
2026/05/26,"43,525.37","17,964,690","1,549,710,749","38,596.42","534,592,732","22,381,678.71"
2026/05/25,"43,644.4","16,726,165","1,352,710,348","35,017.4","530,476,074","22,862,998.55"
2026/05/22,"42,267.97","14,518,650","1,236,888,820","64,911.08","522,289,851","21,054,163.85"
2026/05/21,"41,368.21","12,662,318","1,047,623,792","53,243.06","511,154,475","19,725,042.45"
2026/05/20,"40,020.82","11,825,319","1,027,552,700","-45,284.2","502,079,489","17,510,054.69"
2026/05/19,"40,175.56","13,603,142","1,151,219,413","-50,806.7","496,886,917","18,969,606.47"
2026/05/18,"40,891.82","13,753,749","1,042,046,645","-43,079.3","501,619,604","18,456,491.7"
2026/05/15,"41,172.36","17,355,987","1,374,865,492","2,932.57","492,797,137","19,159,527.91"
