靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2603 篴,2026/7/9,194.5,"5,366","1,046,571",0.2478,"2,165,043","421,101",15,TSE
1301 鹅,2026/7/9,54.8,"56,581","3,141,759",0.8888,"6,365,741","348,843",03,TSE
3231 絥承,2026/7/9,144.5,"29,080","4,235,251",0.9145,"3,180,052","459,518",25,TSE
2356 璣穨笷,2026/7/9,67.6085,"143,660","10,160,418",4.0045,"3,587,475","250,406",25,TSE
2301 腳,2026/7/9,211.5484,"10,363","2,237,285",0.4474,"2,316,108","494,489",25,TSE
2395 地,2026/7/9,528.6292,"6,782","3,718,312",0.7804,"869,046","469,285",25,TSE
2303 羛筿,2026/7/8,163,"88,907","13,833,230",0.7069,"12,576,985","2,050,049",24,TSE
2382 約笷,2026/7/8,361.5637,"15,636","5,866,518",0.4048,"3,862,627","1,456,211",25,TSE
2317 翬,2026/7/8,237.5,"37,939","8,963,064",0.2696,"14,073,424","3,342,438",31,TSE
2412 い地筿,2026/7/8,134.3,"25,356","3,556,651",0.3269,"7,757,447","1,082,164",27,TSE
2603 篴,2026/7/8,196,"16,209","3,145,441",0.7487,"2,165,043","424,348",15,TSE
1301 鹅,2026/7/8,58,"44,630","2,569,799",0.7011,"6,365,741","369,213",03,TSE
3231 絥承,2026/7/8,146.5,"59,256","8,697,902",1.8634,"3,180,052","465,878",25,TSE
2356 璣穨笷,2026/7/8,64.1215,"22,956","1,501,419",0.6399,"3,587,475","237,491",25,TSE
2301 腳,2026/7/8,212.0438,"12,844","2,735,547",0.5546,"2,316,108","495,647",25,TSE
2395 地,2026/7/8,534.5029,"8,005","4,367,525",0.9211,"869,046","474,499",25,TSE
2303 羛筿,2026/7/7,152.39,"91,482","14,523,869",0.7274,"12,576,985","1,949,433",24,TSE
2382 約笷,2026/7/7,357.7275,"15,592","5,857,442",0.4037,"3,862,627","1,440,760",25,TSE
2317 翬,2026/7/7,237,"51,778","12,365,371",0.3679,"14,073,424","3,335,401",31,TSE
2412 い地筿,2026/7/7,135.7441,"18,969","2,680,828",0.2445,"7,757,447","1,093,800",27,TSE
2603 篴,2026/7/7,188,"23,280","4,384,079",1.0753,"2,165,043","407,028",15,TSE
1301 鹅,2026/7/7,57.3,"47,904","2,794,357",0.7525,"6,365,741","364,757",03,TSE
3231 絥承,2026/7/7,149.99,"34,773","5,461,020",1.0935,"3,180,052","494,498",25,TSE
2356 璣穨笷,2026/7/7,63.3466,"25,572","1,709,017",0.7128,"3,587,475","234,621",25,TSE
2301 腳,2026/7/7,211.053,"21,217","4,640,876",0.9161,"2,316,108","493,331",25,TSE
2395 地,2026/7/7,486.0452,"1,854","935,617",0.2133,"869,046","431,481",25,TSE
2303 羛筿,2026/7/6,163.2047,"55,004","9,165,631",0.4373,"12,576,985","2,087,779",24,TSE
2382 約笷,2026/7/6,362.5228,"25,001","9,568,079",0.6473,"3,862,627","1,460,073",25,TSE
2317 翬,2026/7/6,242,"43,693","10,638,459",0.3105,"14,073,424","3,405,769",31,TSE
2412 い地筿,2026/7/6,136.2254,"13,315","1,888,644",0.1716,"7,757,447","1,097,679",27,TSE
2603 篴,2026/7/6,195.5,"8,533","1,676,210",0.3941,"2,165,043","423,266",15,TSE
1301 鹅,2026/7/6,60.4,"75,892","4,654,512",1.1922,"6,365,741","384,491",03,TSE
3231 絥承,2026/7/6,152.4014,"26,189","4,174,105",0.8235,"3,180,052","502,448",25,TSE
2356 璣穨笷,2026/7/6,65.0901,"26,058","1,776,222",0.7264,"3,587,475","241,078",25,TSE
2301 腳,2026/7/6,221.9524,"25,152","5,727,772",1.086,"2,316,108","518,808",25,TSE
2395 地,2026/7/6,504.1556,"1,522","785,285",0.1751,"869,046","447,559",25,TSE
2303 羛筿,2026/7/3,167.629,"75,996","12,647,715",0.6042,"12,576,985","2,144,376",24,TSE
2382 約笷,2026/7/3,361.5637,"13,135","4,919,080",0.3401,"3,862,627","1,456,211",25,TSE
2317 翬,2026/7/3,240.5,"51,008","12,190,174",0.3624,"14,073,424","3,384,658",31,TSE
2412 い地筿,2026/7/3,135.7441,"17,629","2,492,356",0.2273,"7,757,447","1,093,800",27,TSE
2603 篴,2026/7/3,195,"25,022","4,846,620",1.1557,"2,165,043","422,183",15,TSE
1301 鹅,2026/7/3,62.1,"190,058","11,771,403",2.9856,"6,365,741","395,313",03,TSE
3231 絥承,2026/7/3,153.366,"24,768","3,962,864",0.7789,"3,180,052","505,628",25,TSE
2356 璣穨笷,2026/7/3,65.4776,"23,294","1,579,576",0.6493,"3,587,475","242,513",25,TSE
2301 腳,2026/7/3,216.9981,"16,966","3,681,592",0.7325,"2,316,108","507,228",25,TSE
