證券代碼,年月日,收盤價(元),成交量(千股),成交值(千元),週轉率％,流通在外股數(千股),市值(百萬元),TSE 產業別,上市別
2002 中鋼,2026/7/29,18.95,"54,262","1,023,569",0.3449,"15,734,861","298,176",10,TSE
2884 玉山金,2026/7/29,36.5,"76,803","2,792,713",0.4743,"16,192,000","591,008",17,TSE
5880 合庫金,2026/7/29,24.68,"46,004","1,197,866",0.2934,"15,680,937","409,272",17,TSE
1216 統一,2026/7/29,75.2,"23,042","1,790,657",0.4055,"5,682,015","444,334",02,TSE
4904 遠傳,2026/7/29,106.5,"19,364","2,064,734",0.5367,"3,607,705","384,221",27,TSE
2881 富邦金,2026/7/28,125.5,"21,810","2,735,166",0.1557,"14,007,365","1,757,924",17,TSE
2882 國泰金,2026/7/28,95.4,"24,875","2,379,211",0.1696,"14,669,210","1,399,443",17,TSE
2886 兆豐金,2026/7/28,47.6731,"36,821","1,825,562",0.2482,"14,833,378","733,511",17,TSE
2891 中信金,2026/7/28,62.4,"40,111","2,499,931",0.2039,"19,675,933","1,227,778",17,TSE
2892 第一金,2026/7/28,33.5056,"42,613","1,483,783",0.2963,"14,379,469","500,406",17,TSE
2002 中鋼,2026/7/28,19,"36,336","689,739",0.2309,"15,734,861","298,962",10,TSE
2884 玉山金,2026/7/28,36.25,"32,331","1,172,165",0.1997,"16,192,000","586,960",17,TSE
5880 合庫金,2026/7/28,24.5382,"15,876","410,316",0.1012,"15,680,937","406,920",17,TSE
1216 統一,2026/7/28,74.4307,"16,222","1,252,793",0.2855,"5,682,015","439,788",02,TSE
4904 遠傳,2026/7/28,106,"8,820","933,791",0.2445,"3,607,705","382,417",27,TSE
2881 富邦金,2026/7/27,130,"15,640","2,014,773",0.1117,"14,007,365","1,820,957",17,TSE
2882 國泰金,2026/7/27,98.5,"15,857","1,554,410",0.1081,"14,669,210","1,444,917",17,TSE
2886 兆豐金,2026/7/27,47.6249,"30,976","1,529,304",0.2088,"14,833,378","732,769",17,TSE
2891 中信金,2026/7/27,63,"27,427","1,727,045",0.1394,"19,675,933","1,239,584",17,TSE
2892 第一金,2026/7/27,33.5056,"38,731","1,347,074",0.2693,"14,379,469","500,406",17,TSE
2002 中鋼,2026/7/27,19.25,"34,243","658,523",0.2176,"15,734,861","302,896",10,TSE
2884 玉山金,2026/7/27,36.4,"29,576","1,071,968",0.1827,"16,192,000","589,389",17,TSE
5880 合庫金,2026/7/27,24.5382,"23,265","601,507",0.1484,"15,680,937","406,920",17,TSE
1216 統一,2026/7/27,74.1422,"14,204","1,105,274",0.25,"5,682,015","438,083",02,TSE
4904 遠傳,2026/7/27,107.5,"10,936","1,164,588",0.3031,"3,607,705","387,828",27,TSE
2881 富邦金,2026/7/24,127.5,"15,800","2,015,442",0.1128,"14,007,365","1,785,939",17,TSE
2882 國泰金,2026/7/24,97,"11,296","1,094,803",0.077,"14,669,210","1,422,913",17,TSE
2886 兆豐金,2026/7/24,46.709,"21,752","1,049,966",0.1466,"14,833,378","718,677",17,TSE
2891 中信金,2026/7/24,63.6,"16,215","1,028,939",0.0824,"19,675,933","1,251,389",17,TSE
2892 第一金,2026/7/24,33.0242,"30,998","1,060,109",0.2156,"14,379,469","493,216",17,TSE
2002 中鋼,2026/7/24,19.15,"59,825","1,147,609",0.3802,"15,734,861","301,323",10,TSE
2884 玉山金,2026/7/24,35.95,"28,893","1,033,138",0.1784,"16,192,000","582,102",17,TSE
5880 合庫金,2026/7/24,24.2545,"12,660","323,429",0.0807,"15,680,937","402,216",17,TSE
1216 統一,2026/7/24,74.4307,"15,558","1,199,819",0.2738,"5,682,015","439,788",02,TSE
4904 遠傳,2026/7/24,105.5,"17,373","1,820,448",0.4816,"3,607,705","380,613",27,TSE
2881 富邦金,2026/7/23,128.5,"16,221","2,073,336",0.1158,"14,007,365","1,799,946",17,TSE
2882 國泰金,2026/7/23,97.3,"15,934","1,548,865",0.1086,"14,669,210","1,427,314",17,TSE
2886 兆豐金,2026/7/23,46.4198,"26,238","1,257,485",0.1769,"14,833,378","714,227",17,TSE
2891 中信金,2026/7/23,63.5,"35,051","2,215,172",0.1781,"19,675,933","1,249,422",17,TSE
2892 第一金,2026/7/23,32.8798,"35,275","1,200,318",0.2453,"14,379,469","491,059",17,TSE
2002 中鋼,2026/7/23,18.95,"89,130","1,712,220",0.5664,"15,734,861","300,536",10,TSE
2884 玉山金,2026/7/23,35.65,"26,137","930,771",0.1614,"16,192,000","577,245",17,TSE
5880 合庫金,2026/7/23,24.2072,"14,631","373,624",0.0933,"15,680,937","401,432",17,TSE
1216 統一,2026/7/23,74.046,"20,523","1,566,232",0.3612,"5,682,015","437,515",02,TSE
4904 遠傳,2026/7/23,102.5,"10,673","1,102,861",0.2958,"3,607,705","369,790",27,TSE
2881 富邦金,2026/7/22,127,"28,000","3,567,359",0.1999,"14,007,365","1,778,935",17,TSE
2882 國泰金,2026/7/22,96.8,"24,444","2,384,911",0.1666,"14,669,210","1,419,980",17,TSE
2886 兆豐金,2026/7/22,46.468,"24,691","1,192,610",0.1665,"14,833,378","714,969",17,TSE
2891 中信金,2026/7/22,64,"35,795","2,285,881",0.1819,"19,675,933","1,259,260",17,TSE
2892 第一金,2026/7/22,33.1205,"31,044","1,066,694",0.2159,"14,379,469","494,654",17,TSE
2002 中鋼,2026/7/22,18.702,"46,436","877,917",0.2951,"15,734,861","296,602",10,TSE
2884 玉山金,2026/7/22,36.05,"35,080","1,278,554",0.2167,"16,192,000","583,722",17,TSE
5880 合庫金,2026/7/22,24.1599,"13,282","340,448",0.0847,"15,680,937","400,648",17,TSE
1216 統一,2026/7/22,73.8537,"28,491","2,192,022",0.5014,"5,682,015","436,379",02,TSE
4904 遠傳,2026/7/22,103,"13,356","1,382,516",0.3702,"3,607,705","371,594",27,TSE
2881 富邦金,2026/7/21,123.5,"17,394","2,154,556",0.1242,"14,007,365","1,729,910",17,TSE
2882 國泰金,2026/7/21,95.8,"21,831","2,085,460",0.1488,"14,669,210","1,405,310",17,TSE
2886 兆豐金,2026/7/21,46.8536,"31,762","1,540,378",0.2141,"14,833,378","720,902",17,TSE
2891 中信金,2026/7/21,62.7,"50,351","3,151,448",0.2559,"19,676,898","1,233,742",17,TSE
2892 第一金,2026/7/21,33.1686,"40,357","1,383,813",0.2807,"14,379,469","495,373",17,TSE
2002 中鋼,2026/7/21,18.6524,"31,409","590,389",0.1996,"15,734,861","295,815",10,TSE
2884 玉山金,2026/7/21,36.95,"66,290","2,435,107",0.4094,"16,192,000","598,294",17,TSE
5880 合庫金,2026/7/21,24.3018,"19,808","509,482",0.1263,"15,680,937","403,000",17,TSE
1216 統一,2026/7/21,76.5463,"22,149","1,766,962",0.3898,"5,682,015","452,288",02,TSE
4904 遠傳,2026/7/21,102,"14,946","1,541,760",0.4143,"3,607,705","367,986",27,TSE
2881 富邦金,2026/7/20,123.5,"26,626","3,292,941",0.1901,"14,007,365","1,729,910",17,TSE
2882 國泰金,2026/7/20,94,"29,681","2,804,700",0.2023,"14,669,210","1,378,906",17,TSE
2886 兆豐金,2026/7/20,46.468,"45,571","2,183,275",0.3072,"14,833,378","714,969",17,TSE
2891 中信金,2026/7/20,61.5,"69,848","4,282,479",0.355,"19,676,898","1,210,129",17,TSE
2892 第一金,2026/7/20,32.6872,"38,105","1,291,023",0.265,"14,379,469","488,183",17,TSE
2002 中鋼,2026/7/20,18.4043,"40,618","758,170",0.2581,"15,734,861","291,882",10,TSE
2884 玉山金,2026/7/20,35.85,"80,234","2,859,648",0.4955,"16,192,000","580,483",17,TSE
5880 合庫金,2026/7/20,24.1126,"30,858","787,027",0.1968,"15,680,937","399,864",17,TSE
1216 統一,2026/7/20,77.2195,"30,472","2,436,736",0.5363,"5,682,015","456,266",02,TSE
4904 遠傳,2026/7/20,104.5,"19,211","2,007,494",0.5325,"3,607,705","377,005",27,TSE
2881 富邦金,2026/7/17,124.5,"33,387","4,147,340",0.2384,"14,007,365","1,743,917",17,TSE
2882 國泰金,2026/7/17,94.3,"28,465","2,720,768",0.194,"14,669,210","1,383,307",17,TSE
2886 兆豐金,2026/7/17,45.8895,"52,531","2,488,424",0.3541,"14,833,378","706,069",17,TSE
2891 中信金,2026/7/17,62.1,"85,999","5,337,648",0.4371,"19,676,898","1,221,935",17,TSE
2892 第一金,2026/7/17,32.8316,"45,041","1,532,986",0.3132,"14,379,469","490,340",17,TSE
2002 中鋼,2026/7/17,18.5035,"49,685","933,011",0.3158,"15,734,861","293,455",10,TSE
2884 玉山金,2026/7/17,35.1,"97,753","3,437,953",0.6037,"16,192,000","568,339",17,TSE
5880 合庫金,2026/7/17,23.9708,"27,329","695,167",0.1743,"15,680,937","397,512",17,TSE
1216 統一,2026/7/17,76.931,"30,854","2,451,170",0.543,"5,682,015","454,561",02,TSE
