證券代碼,年月日,收盤價(元),成交量(千股),成交值(千元),週轉率％,流通在外股數(千股),市值(百萬元),TSE 產業別,上市別
2884 玉山金,2025/7/23,31.7069,"28,635","946,486",0.177,"16,174,000","534,551",17,TSE
5880 合庫金,2025/7/23,22.9532,"8,178","209,671",0.0537,"15,224,211","391,262",17,TSE
1216 統一,2025/7/23,79.9788,"11,946","1,034,812",0.2102,"5,682,015","490,358",02,TSE
4904 遠傳,2025/7/23,79.4483,"5,216","428,090",0.1447,"3,605,705","297,471",27,TSE
2881 富邦金,2025/7/22,77.838,"11,917","986,485",0.0872,"13,665,722","1,127,422",17,TSE
2882 國泰金,2025/7/22,59.5724,"22,906","1,421,825",0.1562,"14,669,210","905,090",17,TSE
2886 兆豐金,2025/7/22,39.6339,"21,233","904,598",0.1431,"14,833,378","633,385",17,TSE
2891 中信金,2025/7/22,41.1245,"51,735","2,215,332",0.2633,"19,650,381","838,089",17,TSE
2892 第一金,2025/7/22,26.9875,"17,385","516,854",0.1239,"14,028,750","415,952",17,TSE
2002 中鋼,2025/7/22,18.7837,"21,751","420,293",0.1382,"15,734,861","302,896",10,TSE
2884 玉山金,2025/7/22,31.8508,"43,384","1,435,231",0.2682,"16,174,000","536,977",17,TSE
5880 合庫金,2025/7/22,22.73,"6,926","176,664",0.0455,"15,224,211","387,456",17,TSE
1216 統一,2025/7/22,80.6275,"11,838","1,027,719",0.2083,"5,682,015","494,335",02,TSE
4904 遠傳,2025/7/22,78.4853,"8,058","658,093",0.2235,"3,605,705","293,865",27,TSE
2881 富邦金,2025/7/21,78.4041,"12,380","1,034,223",0.0906,"13,665,722","1,135,621",17,TSE
2882 國泰金,2025/7/21,60.1517,"20,194","1,264,886",0.1377,"14,669,210","913,892",17,TSE
2886 兆豐金,2025/7/21,39.2162,"17,346","733,139",0.1169,"14,833,378","626,710",17,TSE
2891 中信金,2025/7/21,40.9799,"43,852","1,870,573",0.2232,"19,650,381","835,141",17,TSE
2892 第一金,2025/7/21,27.033,"11,480","340,811",0.0818,"14,028,750","416,654",17,TSE
2002 中鋼,2025/7/21,18.7349,"14,793","283,905",0.094,"15,734,861","302,109",10,TSE
2884 玉山金,2025/7/21,31.3423,"63,510","2,182,081",0.397,"15,995,800","547,056",17,TSE
5880 合庫金,2025/7/21,22.7746,"5,878","150,337",0.0386,"15,224,211","388,217",17,TSE
1216 統一,2025/7/21,80.2568,"10,738","926,518",0.189,"5,682,015","492,063",02,TSE
4904 遠傳,2025/7/21,79.2557,"4,641","382,323",0.1287,"3,605,705","296,750",27,TSE
2881 富邦金,2025/7/18,78.9702,"19,951","1,668,671",0.146,"13,665,722","1,143,821",17,TSE
2882 國泰金,2025/7/18,60.4414,"20,698","1,298,137",0.1411,"14,669,210","918,293",17,TSE
2886 兆豐金,2025/7/18,39.1698,"17,855","750,650",0.1204,"14,833,378","625,969",17,TSE
2891 中信金,2025/7/18,41.1727,"21,194","904,392",0.1079,"19,650,381","839,071",17,TSE
2892 第一金,2025/7/18,27.124,"10,041","299,090",0.0716,"14,028,750","418,057",17,TSE
2002 中鋼,2025/7/18,18.5398,"17,349","331,926",0.1103,"15,734,861","298,962",10,TSE
2884 玉山金,2025/7/18,32.0755,"48,720","1,705,722",0.3046,"15,995,800","559,853",17,TSE
5880 合庫金,2025/7/18,22.9532,"6,946","178,269",0.0456,"15,224,211","391,262",17,TSE
1216 統一,2025/7/18,79.7934,"10,812","929,922",0.1903,"5,682,015","489,222",02,TSE
4904 遠傳,2025/7/18,79.352,"5,435","446,823",0.1507,"3,605,705","297,110",27,TSE
2881 富邦金,2025/7/17,79.3476,"13,592","1,147,116",0.0995,"13,665,722","1,149,287",17,TSE
2882 國泰金,2025/7/17,60.9241,"29,511","1,869,755",0.2012,"14,669,210","925,627",17,TSE
2886 兆豐金,2025/7/17,39.0306,"19,643","824,152",0.1324,"14,833,378","623,744",17,TSE
2891 中信金,2025/7/17,41.2691,"49,477","2,116,272",0.2518,"19,650,381","841,036",17,TSE
2892 第一金,2025/7/17,27.215,"17,037","508,543",0.1214,"14,028,750","419,460",17,TSE
2002 中鋼,2025/7/17,18.7837,"22,215","425,169",0.1412,"15,734,861","302,896",10,TSE
2884 玉山金,2025/7/17,32.3046,"36,638","1,290,796",0.229,"15,995,800","563,852",17,TSE
5880 合庫金,2025/7/17,22.9979,"6,127","157,726",0.0402,"15,224,211","392,023",17,TSE
1216 統一,2025/7/17,79.6081,"11,431","980,681",0.2012,"5,682,015","488,085",02,TSE
4904 遠傳,2025/7/17,79.1594,"7,898","649,711",0.219,"3,605,705","296,389",27,TSE
2881 富邦金,2025/7/16,79.6306,"19,923","1,675,108",0.1458,"13,665,722","1,153,387",17,TSE
2882 國泰金,2025/7/16,61.3103,"28,902","1,831,934",0.197,"14,669,210","931,495",17,TSE
2886 兆豐金,2025/7/16,39.1698,"20,113","845,927",0.1356,"14,833,378","625,969",17,TSE
2891 中信金,2025/7/16,41.462,"54,192","2,324,655",0.2758,"19,650,381","844,966",17,TSE
2892 第一金,2025/7/16,27.124,"15,487","460,855",0.1104,"14,028,750","418,057",17,TSE
2002 中鋼,2025/7/16,18.3446,"15,521","292,516",0.0986,"15,734,861","295,815",10,TSE
2884 玉山金,2025/7/16,32.3046,"45,259","1,589,370",0.2829,"15,995,800","563,852",17,TSE
5880 合庫金,2025/7/16,22.9532,"10,009","256,770",0.0657,"15,224,211","391,262",17,TSE
1216 統一,2025/7/16,79.2374,"11,862","1,013,641",0.2088,"5,682,015","485,812",02,TSE
4904 遠傳,2025/7/16,79.4483,"8,274","679,503",0.2295,"3,605,705","297,471",27,TSE
2881 富邦金,2025/7/15,78.7815,"11,198","931,182",0.0819,"13,665,722","1,141,088",17,TSE
2882 國泰金,2025/7/15,60.9241,"16,814","1,059,552",0.1146,"14,669,210","925,627",17,TSE
2886 兆豐金,2025/7/15,38.9842,"20,206","846,534",0.1362,"14,833,378","623,002",17,TSE
2891 中信金,2025/7/15,41.3656,"56,309","2,392,620",0.2866,"19,650,381","843,001",17,TSE
2892 第一金,2025/7/15,27.0785,"10,460","310,554",0.0746,"14,028,750","417,355",17,TSE
2002 中鋼,2025/7/15,18.4422,"22,518","424,135",0.1431,"15,734,861","297,389",10,TSE
2884 玉山金,2025/7/15,32.3504,"51,211","1,800,685",0.3202,"15,995,800","564,652",17,TSE
5880 合庫金,2025/7/15,22.9086,"9,145","234,189",0.0601,"15,224,211","390,501",17,TSE
1216 統一,2025/7/15,78.4033,"10,009","848,961",0.1762,"5,682,015","480,699",02,TSE
4904 遠傳,2025/7/15,79.4483,"7,393","610,359",0.205,"3,605,705","297,471",27,TSE
2881 富邦金,2025/7/14,77.9323,"20,316","1,680,556",0.1487,"13,665,722","1,128,789",17,TSE
2882 國泰金,2025/7/14,61.0207,"28,875","1,827,480",0.1968,"14,669,210","927,094",17,TSE
2886 兆豐金,2025/7/14,39.4482,"14,301","606,506",0.0964,"14,833,378","630,419",17,TSE
2891 中信金,2025/7/14,40.4013,"89,361","3,730,617",0.4548,"19,650,381","823,351",17,TSE
2892 第一金,2025/7/14,27.124,"12,045","358,477",0.0859,"14,028,750","418,057",17,TSE
2002 中鋼,2025/7/14,18.3934,"14,148","266,830",0.0899,"15,734,861","296,602",10,TSE
2884 玉山金,2025/7/14,32.2129,"44,153","1,548,729",0.276,"15,995,800","562,252",17,TSE
5880 合庫金,2025/7/14,22.9979,"9,792","251,568",0.0643,"15,224,211","392,023",17,TSE
1216 統一,2025/7/14,79.052,"12,305","1,056,204",0.2166,"5,682,015","484,676",02,TSE
4904 遠傳,2025/7/14,80.315,"6,778","564,172",0.188,"3,605,705","300,716",27,TSE
2881 富邦金,2025/7/11,77.9323,"21,263","1,759,793",0.1556,"13,665,722","1,128,789",17,TSE
2882 國泰金,2025/7/11,60.3448,"20,664","1,297,274",0.1409,"14,669,210","916,826",17,TSE
2886 兆豐金,2025/7/11,39.4482,"16,101","682,705",0.1085,"14,833,378","630,419",17,TSE
2891 中信金,2025/7/11,40.0542,"91,889","4,058,508",0.4676,"19,650,381","861,669",17,TSE
2892 第一金,2025/7/11,27.124,"13,117","390,335",0.0935,"14,028,750","418,057",17,TSE
2002 中鋼,2025/7/11,18.3446,"14,431","271,956",0.0917,"15,734,861","295,815",10,TSE
2884 玉山金,2025/7/11,31.8922,"50,022","1,747,022",0.3127,"15,995,800","556,654",17,TSE
5880 合庫金,2025/7/11,22.8639,"15,910","406,360",0.1045,"15,224,211","389,740",17,TSE
1216 統一,2025/7/11,78.6813,"10,965","931,425",0.193,"5,682,015","482,403",02,TSE
4904 遠傳,2025/7/11,79.6409,"6,916","571,905",0.1918,"3,605,705","298,192",27,TSE
2881 富邦金,2025/7/10,77.6493,"18,414","1,504,692",0.1347,"13,665,722","1,124,689",17,TSE
2882 國泰金,2025/7/10,60.5379,"26,915","1,676,588",0.1835,"14,669,210","919,759",17,TSE
2886 兆豐金,2025/7/10,39.2626,"20,133","846,087",0.1357,"14,833,378","627,452",17,TSE
2891 中信金,2025/7/10,40.2825,"82,345","3,616,839",0.4191,"19,650,381","866,582",17,TSE
2892 第一金,2025/7/10,26.9875,"15,340","453,310",0.1093,"14,028,750","415,952",17,TSE
2002 中鋼,2025/7/10,18.491,"13,205","248,925",0.0839,"15,734,861","298,176",10,TSE
2884 玉山金,2025/7/10,31.8005,"37,431","1,292,965",0.234,"15,995,800","555,054",17,TSE
5880 合庫金,2025/7/10,22.596,"7,975","201,179",0.0524,"15,224,211","385,173",17,TSE
1216 統一,2025/7/10,77.8472,"9,098","764,843",0.1601,"5,682,015","477,289",02,TSE
4904 遠傳,2025/7/10,79.352,"11,041","909,024",0.3062,"3,605,705","297,110",27,TSE
2881 富邦金,2025/7/9,75.7623,"21,068","1,701,221",0.1542,"13,665,722","1,097,357",17,TSE
2882 國泰金,2025/7/9,58.9931,"17,242","1,057,980",0.1175,"14,669,210","896,289",17,TSE
2886 兆豐金,2025/7/9,38.9377,"16,181","677,514",0.1091,"14,833,378","622,260",17,TSE
2891 中信金,2025/7/9,40.0999,"84,640","3,718,098",0.4307,"19,650,381","862,652",17,TSE
2892 第一金,2025/7/9,26.7599,"11,816","346,405",0.0842,"14,028,750","412,445",17,TSE
2002 中鋼,2025/7/9,18.4422,"17,969","338,521",0.1142,"15,734,861","297,389",10,TSE
2884 玉山金,2025/7/9,31.3423,"30,714","1,046,157",0.192,"15,995,800","547,056",17,TSE
5880 合庫金,2025/7/9,22.5067,"5,511","138,827",0.0362,"15,224,211","383,650",17,TSE
1216 統一,2025/7/9,77.3838,"11,804","987,775",0.2077,"5,682,015","474,448",02,TSE
4904 遠傳,2025/7/9,77.7149,"53,446","4,360,775",1.4823,"3,605,705","290,980",27,TSE
2881 富邦金,2025/7/8,76.6115,"15,362","1,253,060",0.1124,"13,665,722","1,109,657",17,TSE
2882 國泰金,2025/7/8,59.4758,"18,768","1,156,833",0.1279,"14,669,210","903,623",17,TSE
2886 兆豐金,2025/7/8,39.309,"26,551","1,119,816",0.179,"14,833,378","628,194",17,TSE
2891 中信金,2025/7/8,40.5566,"58,392","2,598,438",0.2972,"19,650,381","872,477",17,TSE
2892 第一金,2025/7/8,26.8055,"15,976","470,175",0.1139,"14,028,750","413,147",17,TSE
2002 中鋼,2025/7/8,18.3446,"21,737","408,250",0.1381,"15,734,861","295,815",10,TSE
2884 玉山金,2025/7/8,31.159,"38,626","1,315,274",0.2415,"15,995,800","543,857",17,TSE
5880 合庫金,2025/7/8,22.6406,"15,019","379,103",0.0987,"15,224,211","385,934",17,TSE
1216 統一,2025/7/8,77.6619,"11,475","959,924",0.202,"5,682,015","476,153",02,TSE
4904 遠傳,2025/7/8,81.0277,"19,353","1,702,260",0.5367,"3,605,705","316,220",27,TSE
2881 富邦金,2025/7/7,77.3663,"19,568","1,600,603",0.1432,"13,665,722","1,120,589",17,TSE
2882 國泰金,2025/7/7,59.669,"26,320","1,628,477",0.1794,"14,669,210","906,557",17,TSE
2886 兆豐金,2025/7/7,38.9842,"39,658","1,660,978",0.2674,"14,833,378","623,002",17,TSE
2891 中信金,2025/7/7,41.059,"56,407","2,521,712",0.2871,"19,650,381","883,285",17,TSE
2892 第一金,2025/7/7,26.942,"13,806","408,675",0.0984,"14,028,750","415,251",17,TSE
2002 中鋼,2025/7/7,18.5398,"14,653","278,057",0.0931,"15,734,861","298,962",10,TSE
2884 玉山金,2025/7/7,31.159,"37,133","1,255,030",0.2321,"15,995,800","543,857",17,TSE
5880 合庫金,2025/7/7,22.4174,"12,190","305,689",0.0801,"15,224,211","382,128",17,TSE
1216 統一,2025/7/7,76.6424,"7,453","618,730",0.1312,"5,682,015","469,903",02,TSE
4904 遠傳,2025/7/7,81.3972,"26,246","2,315,045",0.7279,"3,605,705","317,663",27,TSE
2881 富邦金,2025/7/4,76.4228,"30,814","2,517,119",0.2255,"13,665,722","1,106,923",17,TSE
2882 國泰金,2025/7/4,59.3793,"22,996","1,424,737",0.1568,"14,669,210","902,156",17,TSE
2886 兆豐金,2025/7/4,38.288,"134,765","5,538,844",0.9085,"14,833,378","611,877",17,TSE
2891 中信金,2025/7/4,40.6479,"44,019","1,960,764",0.224,"19,650,381","874,442",17,TSE
2892 第一金,2025/7/4,26.8965,"33,170","979,916",0.2364,"14,028,750","414,550",17,TSE
2002 中鋼,2025/7/4,18.7837,"12,865","248,524",0.0818,"15,734,861","302,896",10,TSE
2884 玉山金,2025/7/4,30.5633,"26,770","893,415",0.1674,"15,995,800","533,460",17,TSE
5880 合庫金,2025/7/4,22.2834,"6,724","167,890",0.0442,"15,224,211","379,844",17,TSE
1216 統一,2025/7/4,76.4571,"11,226","925,606",0.1976,"5,682,015","468,766",02,TSE
4904 遠傳,2025/7/4,83.9842,"10,992","995,207",0.3049,"3,605,705","327,759",27,TSE
2881 富邦金,2025/7/3,78.3097,"19,666","1,634,322",0.1439,"13,665,722","1,134,255",17,TSE
2882 國泰金,2025/7/3,60.5379,"23,390","1,469,702",0.1594,"14,669,210","919,759",17,TSE
2886 兆豐金,2025/7/3,38.7057,"29,161","1,209,277",0.1966,"14,833,378","618,552",17,TSE
2891 中信金,2025/7/3,40.5566,"53,025","2,348,208",0.2698,"19,650,381","872,477",17,TSE
2892 第一金,2025/7/3,26.6689,"24,295","710,250",0.1732,"14,028,750","411,042",17,TSE
2002 中鋼,2025/7/3,18.9301,"31,110","599,029",0.1977,"15,734,861","305,256",10,TSE
2884 玉山金,2025/7/3,30.3801,"21,518","711,107",0.1345,"15,995,800","530,261",17,TSE
5880 合庫金,2025/7/3,22.3281,"5,654","140,961",0.0371,"15,224,211","380,605",17,TSE
1216 統一,2025/7/3,75.1596,"18,977","1,542,865",0.334,"5,682,015","460,811",02,TSE
4904 遠傳,2025/7/3,83.6146,"11,819","1,064,803",0.3278,"3,605,705","326,316",27,TSE
2881 富邦金,2025/7/2,78.2154,"23,445","1,951,564",0.1716,"13,665,722","1,132,888",17,TSE
2882 國泰金,2025/7/2,60.4414,"27,024","1,699,338",0.1842,"14,669,210","918,293",17,TSE
2886 兆豐金,2025/7/2,38.7521,"27,594","1,142,387",0.186,"14,833,378","619,294",17,TSE
2891 中信金,2025/7/2,40.0999,"49,291","2,173,537",0.2508,"19,650,381","862,652",17,TSE
2892 第一金,2025/7/2,26.5779,"26,375","768,424",0.188,"14,028,750","409,639",17,TSE
2002 中鋼,2025/7/2,18.3446,"14,174","266,298",0.0901,"15,734,861","295,815",10,TSE
2884 玉山金,2025/7/2,30.2426,"20,594","676,918",0.1287,"15,995,800","527,861",17,TSE
5880 合庫金,2025/7/2,22.2387,"3,626","90,034",0.0238,"15,224,211","379,083",17,TSE
1216 統一,2025/7/2,75.9937,"19,328","1,574,060",0.3402,"5,682,015","465,925",02,TSE
4904 遠傳,2025/7/2,82.1364,"11,008","976,146",0.3053,"3,605,705","320,547",27,TSE
2881 富邦金,2025/7/1,78.4984,"51,372","4,315,509",0.3759,"13,665,722","1,136,988",17,TSE
2882 國泰金,2025/7/1,61.2138,"42,362","2,690,345",0.2888,"14,669,210","930,028",17,TSE
2886 兆豐金,2025/7/1,38.5665,"52,095","2,143,934",0.3512,"14,833,378","616,327",17,TSE
2891 中信金,2025/7/1,40.1912,"113,510","5,004,285",0.5776,"19,650,381","864,617",17,TSE
2892 第一金,2025/7/1,26.5779,"43,680","1,270,385",0.3114,"14,028,750","409,639",17,TSE
2002 中鋼,2025/7/1,18.5398,"18,315","348,118",0.1164,"15,734,861","298,962",10,TSE
2884 玉山金,2025/7/1,30.2884,"57,436","1,886,340",0.3591,"15,995,800","528,661",17,TSE
5880 合庫金,2025/7/1,22.1494,"20,165","500,943",0.1325,"15,224,211","377,560",17,TSE
1216 統一,2025/7/1,75.7157,"19,629","1,602,608",0.3455,"5,682,015","464,221",02,TSE
4904 遠傳,2025/7/1,82.5983,"16,255","1,451,929",0.4508,"3,605,705","322,350",27,TSE
2881 富邦金,2025/6/30,78.3569,"121,457","10,587,513",0.8888,"13,665,722","1,193,018",17,TSE
2882 國泰金,2025/6/30,60.6345,"61,926","3,907,600",0.4221,"14,669,210","921,226",17,TSE
2886 兆豐金,2025/6/30,38.1024,"26,079","1,072,426",0.1758,"14,833,378","608,910",17,TSE
2891 中信金,2025/6/30,39.9172,"45,064","1,976,499",0.2293,"19,650,381","858,722",17,TSE
2892 第一金,2025/6/30,26.4414,"41,577","1,206,497",0.2964,"14,028,750","407,535",17,TSE
2002 中鋼,2025/6/30,18.3446,"17,184","323,316",0.1092,"15,734,861","295,815",10,TSE
2884 玉山金,2025/6/30,30.1051,"45,155","1,481,405",0.2823,"15,995,800","525,462",17,TSE
5880 合庫金,2025/6/30,22.1048,"14,794","366,752",0.0972,"15,224,211","376,799",17,TSE
1216 統一,2025/6/30,75.067,"28,802","2,346,859",0.5069,"5,682,015","460,243",02,TSE
4904 遠傳,2025/6/30,82.7831,"12,055","1,078,018",0.3343,"3,605,705","323,071",27,TSE
2881 富邦金,2025/6/27,77.2798,"42,650","3,695,255",0.3121,"13,665,722","1,176,619",17,TSE
2882 國泰金,2025/6/27,62.1793,"84,631","5,681,169",0.5769,"14,669,210","996,039",17,TSE
2886 兆豐金,2025/6/27,38.1952,"30,618","1,255,520",0.2064,"14,833,378","610,394",17,TSE
2891 中信金,2025/6/27,40.6479,"49,995","2,223,355",0.2544,"19,650,381","874,442",17,TSE
2892 第一金,2025/6/27,26.3048,"44,280","1,273,931",0.3156,"14,028,750","405,431",17,TSE
2002 中鋼,2025/6/27,18.6373,"18,374","350,294",0.1168,"15,734,861","300,536",10,TSE
2884 玉山金,2025/6/27,30.2426,"50,345","1,649,749",0.3147,"15,995,800","527,861",17,TSE
5880 合庫金,2025/6/27,22.3281,"10,477","261,155",0.0688,"15,224,211","380,605",17,TSE
1216 統一,2025/6/27,74.2329,"28,475","2,288,895",0.5011,"5,682,015","455,129",02,TSE
4904 遠傳,2025/6/27,82.5059,"8,629","767,497",0.2393,"3,605,705","321,989",27,TSE
2881 富邦金,2025/6/26,77.2798,"31,023","2,666,708",0.227,"13,665,722","1,176,619",17,TSE
2882 國泰金,2025/6/26,61.0804,"42,016","2,795,556",0.2864,"14,669,210","978,436",17,TSE
2886 兆豐金,2025/6/26,38.0095,"28,547","1,174,087",0.1925,"14,833,378","607,427",17,TSE
2891 中信金,2025/6/26,40.4652,"57,518","2,547,202",0.2927,"19,650,381","870,512",17,TSE
2892 第一金,2025/6/26,26.0318,"37,111","1,062,406",0.2645,"14,028,750","401,222",17,TSE
2002 中鋼,2025/6/26,18.5398,"23,759","450,453",0.151,"15,734,861","298,962",10,TSE
2884 玉山金,2025/6/26,29.6927,"39,048","1,263,513",0.2441,"15,995,800","518,264",17,TSE
5880 合庫金,2025/6/26,22.2387,"12,770","318,160",0.0839,"15,224,211","379,083",17,TSE
1216 統一,2025/6/26,74.4182,"44,793","3,588,660",0.7883,"5,682,015","456,266",02,TSE
4904 遠傳,2025/6/26,81.582,"25,407","2,250,410",0.7046,"3,605,705","318,384",27,TSE
2881 富邦金,2025/6/25,76.9208,"27,082","2,328,079",0.1982,"13,665,722","1,171,152",17,TSE
2882 國泰金,2025/6/25,60.8973,"38,650","2,573,607",0.2635,"14,669,210","975,502",17,TSE
2886 兆豐金,2025/6/25,38.0095,"25,144","1,030,126",0.1695,"14,833,378","607,427",17,TSE
2891 中信金,2025/6/25,40.0999,"38,692","1,693,197",0.1969,"19,650,381","862,652",17,TSE
2892 第一金,2025/6/25,26.0318,"45,158","1,292,843",0.3219,"14,028,750","401,222",17,TSE
2002 中鋼,2025/6/25,18.2958,"16,909","318,332",0.1075,"15,734,861","295,029",10,TSE
2884 玉山金,2025/6/25,29.6011,"43,799","1,408,634",0.2738,"15,995,800","516,664",17,TSE
5880 合庫金,2025/6/25,22.1941,"11,579","286,920",0.0761,"15,224,211","378,322",17,TSE
1216 統一,2025/6/25,73.5842,"41,682","3,310,809",0.7336,"5,682,015","451,152",02,TSE
4904 遠傳,2025/6/25,82.2287,"12,461","1,101,377",0.3456,"3,605,705","320,908",27,TSE
2881 富邦金,2025/6/24,77.2798,"20,857","1,790,903",0.1526,"13,665,722","1,176,619",17,TSE
2882 國泰金,2025/6/24,60.8973,"34,493","2,289,727",0.2351,"14,669,210","975,502",17,TSE
2886 兆豐金,2025/6/24,37.6383,"17,570","715,078",0.1184,"14,833,378","601,493",17,TSE
2891 中信金,2025/6/24,39.9628,"55,775","2,432,662",0.2838,"19,650,381","859,704",17,TSE
2892 第一金,2025/6/24,25.8042,"43,441","1,228,992",0.3097,"14,028,750","397,715",17,TSE
2002 中鋼,2025/6/24,18.4422,"19,168","361,712",0.1218,"15,734,861","297,389",10,TSE
2884 玉山金,2025/6/24,29.2345,"25,506","813,202",0.1595,"15,995,800","510,266",17,TSE
5880 合庫金,2025/6/24,21.9261,"5,300","130,171",0.0348,"15,224,211","373,754",17,TSE
1216 統一,2025/6/24,74.0475,"46,335","3,691,943",0.8155,"5,682,015","453,993",02,TSE
4904 遠傳,2025/6/24,79.919,"32,964","2,901,041",0.9142,"3,605,705","311,894",27,TSE
2881 富邦金,2025/6/23,76.0232,"22,050","1,858,204",0.1614,"13,665,722","1,157,487",17,TSE
2882 國泰金,2025/6/23,60.3478,"34,837","2,278,938",0.2375,"14,669,210","966,701",17,TSE
2886 兆豐金,2025/6/23,37.267,"17,351","697,179",0.117,"14,833,378","595,560",17,TSE
2891 中信金,2025/6/23,39.2321,"31,463","1,344,900",0.1601,"19,650,381","843,984",17,TSE
2892 第一金,2025/6/23,25.5767,"43,097","1,211,303",0.3072,"14,028,750","394,208",17,TSE
2002 中鋼,2025/6/23,18.0031,"24,610","452,564",0.1564,"15,734,861","290,308",10,TSE
2884 玉山金,2025/6/23,28.9596,"25,028","785,843",0.1565,"15,995,800","505,467",17,TSE
5880 合庫金,2025/6/23,21.6582,"5,585","135,522",0.0367,"15,224,211","369,187",17,TSE
1216 統一,2025/6/23,73.3988,"39,602","3,117,505",0.697,"5,682,015","450,016",02,TSE
4904 遠傳,2025/6/23,84.5385,"7,396","675,488",0.2051,"3,605,705","329,922",27,TSE
2881 富邦金,2025/6/20,76.2028,"31,851","2,718,067",0.2331,"13,665,722","1,160,220",17,TSE
2882 國泰金,2025/6/20,60.0731,"43,040","2,828,586",0.2934,"14,669,210","962,300",17,TSE
2886 兆豐金,2025/6/20,37.4526,"21,011","849,402",0.1416,"14,833,378","598,527",17,TSE
2891 中信金,2025/6/20,39.2321,"57,036","2,449,344",0.2903,"19,650,381","843,984",17,TSE
2892 第一金,2025/6/20,25.8953,"61,731","1,749,641",0.44,"14,028,750","399,118",17,TSE
2002 中鋼,2025/6/20,18.1982,"43,765","819,119",0.2781,"15,734,861","293,455",10,TSE
2884 玉山金,2025/6/20,29.1429,"40,811","1,297,363",0.2551,"15,995,800","508,666",17,TSE
5880 合庫金,2025/6/20,21.8368,"10,960","268,102",0.072,"15,224,211","372,232",17,TSE
1216 統一,2025/6/20,72.194,"50,853","3,964,886",0.895,"5,682,015","442,629",02,TSE
4904 遠傳,2025/6/20,84.8157,"8,212","754,026",0.2278,"3,605,705","331,004",27,TSE
2881 富邦金,2025/6/19,77.8184,"29,307","2,520,090",0.2145,"13,665,722","1,184,818",17,TSE
2882 國泰金,2025/6/19,60.6225,"43,265","2,860,577",0.2949,"14,669,210","971,102",17,TSE
2886 兆豐金,2025/6/19,37.499,"16,296","661,452",0.1099,"14,833,378","599,268",17,TSE
2891 中信金,2025/6/19,39.2778,"39,420","1,699,517",0.2006,"19,650,381","844,966",17,TSE
2892 第一金,2025/6/19,26.0318,"56,546","1,616,241",0.4031,"14,028,750","401,222",17,TSE
2002 中鋼,2025/6/19,18.491,"26,110","495,317",0.1659,"15,734,861","298,176",10,TSE
2884 玉山金,2025/6/19,29.3261,"33,061","1,056,076",0.2067,"15,995,800","511,866",17,TSE
5880 合庫金,2025/6/19,21.8815,"7,018","172,503",0.0461,"15,224,211","372,993",17,TSE
1216 統一,2025/6/19,71.8233,"25,674","1,991,506",0.4518,"5,682,015","440,356",02,TSE
4904 遠傳,2025/6/19,84.9081,"7,631","700,135",0.2116,"3,605,705","331,364",27,TSE
2881 富邦金,2025/6/18,78.4467,"30,803","2,672,206",0.2254,"13,665,722","1,194,384",17,TSE
2882 國泰金,2025/6/18,61.6299,"60,186","3,995,752",0.4103,"14,669,210","987,238",17,TSE
2886 兆豐金,2025/6/18,37.8239,"13,008","529,460",0.0877,"14,833,378","604,460",17,TSE
2891 中信金,2025/6/18,39.3691,"54,550","2,344,016",0.2776,"19,650,381","846,931",17,TSE
2892 第一金,2025/6/18,25.9863,"63,506","1,806,358",0.4527,"14,028,750","400,521",17,TSE
2002 中鋼,2025/6/18,18.6373,"16,612","318,123",0.1056,"15,734,861","300,536",10,TSE
2884 玉山金,2025/6/18,29.3261,"35,540","1,135,338",0.2222,"15,995,800","511,866",17,TSE
5880 合庫金,2025/6/18,22.1494,"9,996","248,087",0.0657,"15,224,211","377,560",17,TSE
1216 統一,2025/6/18,72.2867,"26,500","2,071,137",0.4664,"5,682,015","443,197",02,TSE
4904 遠傳,2025/6/18,85.1853,"11,185","1,025,643",0.3102,"3,605,705","332,446",27,TSE
2881 富邦金,2025/6/17,77.0106,"41,864","3,619,280",0.3063,"13,665,722","1,172,519",17,TSE
2882 國泰金,2025/6/17,60.1647,"68,144","4,545,221",0.4645,"14,669,210","963,767",17,TSE
2886 兆豐金,2025/6/17,37.6847,"13,973","569,610",0.0942,"14,833,378","602,235",17,TSE
2891 中信金,2025/6/17,38.9124,"73,007","3,130,090",0.3715,"19,650,381","837,106",17,TSE
2892 第一金,2025/6/17,25.8042,"53,632","1,515,159",0.3823,"14,028,750","397,715",17,TSE
2002 中鋼,2025/6/17,18.6373,"13,858","265,304",0.0881,"15,734,861","300,536",10,TSE
2884 玉山金,2025/6/17,29.1429,"29,751","947,993",0.186,"15,995,800","508,666",17,TSE
5880 合庫金,2025/6/17,22.1941,"9,290","230,505",0.061,"15,224,211","378,322",17,TSE
1216 統一,2025/6/17,73.1208,"24,486","1,934,619",0.4309,"5,682,015","448,311",02,TSE
4904 遠傳,2025/6/17,83.6146,"5,377","485,632",0.1491,"3,605,705","326,316",27,TSE
2881 富邦金,2025/6/16,77.1901,"43,829","3,803,594",0.3207,"13,665,722","1,175,252",17,TSE
2882 國泰金,2025/6/16,61.6299,"61,222","4,188,319",0.4174,"14,669,210","987,238",17,TSE
2886 兆豐金,2025/6/16,37.8239,"13,757","559,931",0.0927,"14,833,378","604,460",17,TSE
2891 中信金,2025/6/16,39.0037,"39,346","1,680,508",0.2002,"19,650,381","839,071",17,TSE
2892 第一金,2025/6/16,25.4857,"18,651","522,122",0.1329,"14,028,750","392,805",17,TSE
