靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2308 笷筿,2026/7/9,"1,880","8,337","15,818,699",0.321,"2,597,543","4,883,381",28,TSE
3711 らるщ北,2026/7/9,677,"32,145","21,498,981",0.719,"4,470,572","3,026,577",24,TSE
2345 醇ü,2026/7/9,"2,450.60","2,856","7,141,466",0.509,"561,118","1,385,961",27,TSE
6669 絥縪,2026/7/9,"1,689.69","2,293","11,721,150",1.2287,"186,624","940,585",25,TSE
2059 打,2026/7/9,"8,221.00",684,"5,694,139",0.7178,"95,297","786,201",28,TSE
3008 ミ,2026/7/9,"3,914.25","1,659","6,678,310",1.2684,"130,798","516,653",26,TSE
2379 风琑,2026/7/9,811.193,"7,141","5,958,369",1.3852,"515,513","433,031",24,TSE
2330 縩筿,2026/7/8,"2,465","25,519","62,400,639",0.0984,"25,932,370","63,923,292",24,TSE
2454 羛祇,2026/7/8,"3,995","6,728","26,843,012",0.4195,"1,603,895","6,407,562",24,TSE
3034 羛碟,2026/7/8,520.9154,"6,123","3,300,085",1.0062,"608,511","331,030",24,TSE
2308 笷筿,2026/7/8,"1,885","13,043","24,583,391",0.5021,"2,597,543","4,896,369",28,TSE
3711 らるщ北,2026/7/8,625,"26,610","16,876,148",0.5952,"4,470,572","2,794,108",24,TSE
2345 醇ü,2026/7/8,"2,396.04","3,644","8,864,901",0.6494,"561,118","1,355,100",27,TSE
6669 絥縪,2026/7/8,"1,693.04","1,002","5,002,264",0.5369,"186,624","942,451",25,TSE
2059 打,2026/7/8,"8,066.55",608,"4,897,444",0.638,"95,297","771,430",28,TSE
3008 ミ,2026/7/8,"3,914.25","1,775","6,987,833",1.3571,"130,798","516,653",26,TSE
2379 风琑,2026/7/8,788.9818,"6,821","5,575,665",1.3231,"515,513","421,174",24,TSE
2330 縩筿,2026/7/7,"2,440","31,400","77,617,188",0.1211,"25,932,370","63,274,983",24,TSE
2454 羛祇,2026/7/7,"4,030","9,083","36,965,706",0.5663,"1,603,895","6,463,698",24,TSE
3034 羛碟,2026/7/7,508.467,"5,638","3,035,636",0.9265,"608,511","323,120",24,TSE
2308 笷筿,2026/7/7,"1,890","9,212","17,886,668",0.3546,"2,597,543","4,909,357",28,TSE
3711 らるщ北,2026/7/7,651,"24,720","16,549,718",0.5529,"4,470,572","2,910,343",24,TSE
2345 醇ü,2026/7/7,"2,435.72","3,972","10,087,420",0.7079,"561,118","1,377,544",27,TSE
6669 絥縪,2026/7/7,"1,681.30","2,201","11,299,402",1.1794,"186,624","935,919",25,TSE
2059 打,2026/7/7,"8,230.97","1,077","9,140,813",1.1302,"95,297","787,154",28,TSE
3008 ミ,2026/7/7,"3,854.79","2,546","10,087,945",1.9465,"130,798","508,805",26,TSE
2379 风琑,2026/7/7,749.3879,"7,563","6,024,009",1.4671,"515,513","400,038",24,TSE
2330 縩筿,2026/7/6,"2,460","21,041","52,022,654",0.0811,"25,932,370","63,793,630",24,TSE
2454 羛祇,2026/7/6,"4,100.49","6,897","28,930,241",0.43,"1,603,895","6,616,069",24,TSE
3034 羛碟,2026/7/6,515.17,"3,503","1,883,446",0.5757,"608,511","327,379",24,TSE
2308 笷筿,2026/7/6,"1,995","9,220","18,891,547",0.355,"2,597,543","5,182,099",28,TSE
