靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2454 羛祇,2025/2/26,"1,491.86","8,063","12,531,654",0.5034,"1,601,662","2,498,593",24,TSE
3034 羛碟,2025/2/26,499.0458,"2,468","1,353,432",0.4056,"608,511","334,681",24,TSE
2308 笷筿,2025/2/26,389.987,"9,935","3,935,494",0.3825,"2,597,543","1,036,420",28,TSE
3711 らるщ北,2025/2/26,167.5742,"21,997","3,828,437",0.4981,"4,416,486","775,093",24,TSE
2345 醇ü,2025/2/26,680.6395,"5,105","3,526,446",0.9098,"561,118","389,977",27,TSE
6669 絥縪,2025/2/26,640.6346,"2,311","4,608,720",1.2435,"185,841","376,328",25,TSE
2059 打,2025/2/26,"2,020.42","2,413","4,890,714",2.5321,"95,297","195,359",28,TSE
3008 ミ,2025/2/26,"2,590.20",467,"1,282,758",0.3499,"133,468","369,040",26,TSE
2379 风琑,2025/2/26,517.0981,"2,553","1,422,173",0.4978,"512,864","288,229",24,TSE
2330 縩筿,2025/2/25,"1,031.87","53,174","56,084,293",0.205,"25,932,733","27,359,034",24,TSE
2454 羛祇,2025/2/25,"1,482.30","8,502","13,096,692",0.5308,"1,601,662","2,482,577",24,TSE
3034 羛碟,2025/2/25,500.8605,"2,564","1,416,204",0.4214,"608,511","335,898",24,TSE
2308 笷筿,2025/2/25,384.1225,"7,896","3,110,709",0.304,"2,597,543","1,020,835",28,TSE
3711 らるщ北,2025/2/25,168.5291,"20,640","3,617,723",0.4673,"4,416,486","779,510",24,TSE
2345 醇ü,2025/2/25,665.9494,"8,004","5,497,343",1.4264,"561,118","381,560",27,TSE
6669 絥縪,2025/2/25,612.1619,"2,712","5,337,677",1.4593,"185,841","359,602",25,TSE
2059 打,2025/2/25,"1,926.79","1,619","3,148,623",1.6989,"95,297","186,306",28,TSE
3008 ミ,2025/2/25,"2,562.09",741,"2,040,562",0.5552,"133,468","365,036",26,TSE
2379 风琑,2025/2/25,515.2579,"2,189","1,232,248",0.4268,"512,864","287,204",24,TSE
2330 縩筿,2025/2/24,"1,051.43","33,837","36,461,265",0.1305,"25,932,733","27,877,688",24,TSE
2454 羛祇,2025/2/24,"1,477.52","6,497","9,923,578",0.4056,"1,601,662","2,474,568",24,TSE
3034 羛碟,2025/2/24,500.8605,"2,235","1,229,413",0.3673,"608,511","335,898",24,TSE
2308 笷筿,2025/2/24,386.566,"7,070","2,784,138",0.2722,"2,597,543","1,027,328",28,TSE
3711 らるщ北,2025/2/24,168.0517,"19,227","3,376,446",0.4353,"4,416,486","777,301",24,TSE
2345 醇ü,2025/2/24,690.4329,"10,247","7,156,104",1.8262,"561,118","395,588",27,TSE
6669 絥縪,2025/2/24,645.38,"3,114","6,236,809",1.6756,"185,841","379,115",25,TSE
2059 打,2025/2/24,"1,902.15","2,404","4,486,258",2.5226,"95,297","183,923",28,TSE
3008 ミ,2025/2/24,"2,571.46",276,"757,978",0.2068,"133,468","366,370",26,TSE
2379 风琑,2025/2/24,522.6187,"1,887","1,064,475",0.3679,"512,864","291,307",24,TSE
2330 縩筿,2025/2/21,"1,070.99","31,480","34,322,859",0.1214,"25,932,733","28,396,343",24,TSE
2454 羛祇,2025/2/21,"1,444.05","5,756","8,675,140",0.3594,"1,601,662","2,418,510",24,TSE
3034 羛碟,2025/2/21,494.509,"3,132","1,706,090",0.5147,"608,511","331,639",24,TSE
2308 笷筿,2025/2/21,387.0547,"9,099","3,568,880",0.3503,"2,597,543","1,028,627",28,TSE
3711 らるщ北,2025/2/21,172.8259,"18,621","3,348,165",0.4216,"4,416,486","799,384",24,TSE
2345 醇ü,2025/2/21,706.1023,"9,820","7,063,216",1.7501,"561,118","404,566",27,TSE
6669 絥縪,2025/2/21,658.0345,"1,285","2,658,882",0.6915,"185,841","386,549",25,TSE
2059 打,2025/2/21,"1,838.09","3,002","5,529,376",3.1502,"95,297","177,729",28,TSE
3008 ミ,2025/2/21,"2,562.09",545,"1,492,353",0.4083,"133,468","365,036",26,TSE
2379 风琑,2025/2/21,520.7785,"1,821","1,022,322",0.3551,"512,864","290,281",24,TSE
2330 縩筿,2025/2/20,"1,056.32","31,108","33,537,160",0.12,"25,932,733","28,007,352",24,TSE
2454 羛祇,2025/2/20,"1,434.48","7,150","10,837,847",0.4464,"1,601,662","2,402,494",24,TSE
3034 羛碟,2025/2/20,489.9723,"2,095","1,133,762",0.3443,"608,511","328,596",24,TSE
2308 笷筿,2025/2/20,381.1903,"10,129","3,966,771",0.3899,"2,597,543","1,013,042",28,TSE
3711 らるщ北,2025/2/20,171.3936,"23,976","4,314,295",0.5429,"4,416,486","792,759",24,TSE
2345 醇ü,2025/2/20,691.4122,"7,878","5,630,994",1.404,"561,118","396,149",27,TSE
6669 絥縪,2025/2/20,658.0345,"1,274","2,666,776",0.6855,"185,841","386,549",25,TSE
2059 打,2025/2/20,"1,847.95","1,505","2,789,507",1.5793,"95,297","178,682",28,TSE
3008 ミ,2025/2/20,"2,585.51",594,"1,628,453",0.4451,"133,468","368,372",26,TSE
2379 风琑,2025/2/20,510.6574,"1,510","839,419",0.2944,"512,864","284,639",24,TSE
2330 縩筿,2025/2/19,"1,066.10","28,756","31,328,641",0.1109,"25,932,733","28,266,679",24,TSE
2454 羛祇,2025/2/19,"1,472.74","4,710","7,242,322",0.2941,"1,601,662","2,466,560",24,TSE
3034 羛碟,2025/2/19,491.787,"2,453","1,328,865",0.4031,"608,511","329,813",24,TSE
2308 笷筿,2025/2/19,383.1451,"8,248","3,229,349",0.3175,"2,597,543","1,018,237",28,TSE
3711 らるщ北,2025/2/19,175.213,"25,009","4,593,590",0.5663,"4,416,486","810,425",24,TSE
2345 醇ü,2025/2/19,698.2676,"14,131","10,108,669",2.5184,"561,118","400,077",27,TSE
6669 絥縪,2025/2/19,669.1072,"1,778","3,802,498",0.9567,"185,841","393,053",25,TSE
2059 打,2025/2/19,"1,843.02","1,060","1,974,412",1.1123,"95,297","178,206",28,TSE
3008 ミ,2025/2/19,"2,538.67",336,"913,749",0.2517,"133,468","361,699",26,TSE
2379 风琑,2025/2/19,508.8172,"2,366","1,316,359",0.4613,"512,864","283,614",24,TSE
2330 縩筿,2025/2/18,"1,075.88","24,018","26,204,727",0.0926,"25,932,733","28,526,007",24,TSE
2454 羛祇,2025/2/18,"1,467.95","5,461","8,359,528",0.341,"1,601,662","2,458,552",24,TSE
3034 羛碟,2025/2/18,492.6943,"2,548","1,381,143",0.4187,"608,511","330,422",24,TSE
2308 笷筿,2025/2/18,382.1677,"21,321","8,392,544",0.8208,"2,597,543","1,015,639",28,TSE
3711 らるщ北,2025/2/18,170.9162,"11,486","2,051,659",0.2601,"4,416,486","790,551",24,TSE
2345 醇ü,2025/2/18,742.3377,"2,983","2,256,022",0.5316,"561,118","425,327",27,TSE
6669 絥縪,2025/2/18,689.6708,"1,552","3,351,520",0.8351,"185,841","405,133",25,TSE
2059 打,2025/2/18,"1,828.24","1,690","3,072,064",1.7734,"95,297","176,776",28,TSE
3008 ミ,2025/2/18,"2,543.36",426,"1,166,721",0.3192,"133,468","362,366",26,TSE
2379 风琑,2025/2/18,506.977,"1,089","599,162",0.2123,"512,864","282,588",24,TSE
2330 縩筿,2025/2/17,"1,061.21","37,215","40,057,489",0.1435,"25,932,733","28,137,016",24,TSE
2454 羛祇,2025/2/17,"1,477.52","8,095","12,386,691",0.5054,"1,601,662","2,474,568",24,TSE
3034 羛碟,2025/2/17,492.6943,"2,334","1,271,072",0.3836,"608,511","330,422",24,TSE
2308 笷筿,2025/2/17,396.8288,"4,598","1,866,406",0.177,"2,597,543","1,054,603",28,TSE
3711 らるщ北,2025/2/17,169.9613,"18,177","3,224,319",0.4116,"4,416,486","786,134",24,TSE
2345 醇ü,2025/2/17,742.3377,"5,114","3,822,119",0.9114,"561,118","425,327",27,TSE
6669 絥縪,2025/2/17,661.1982,"1,766","3,654,226",0.9503,"185,841","388,407",25,TSE
2059 打,2025/2/17,"1,729.68",795,"1,374,330",0.8342,"95,297","167,246",28,TSE
3008 ミ,2025/2/17,"2,562.09",869,"2,375,751",0.6511,"133,468","365,036",26,TSE
2379 风琑,2025/2/17,506.0569,"1,575","870,090",0.3071,"512,864","282,075",24,TSE
2330 縩筿,2025/2/14,"1,036.76","73,417","78,100,130",0.2831,"25,932,733","27,488,697",24,TSE
2454 羛祇,2025/2/14,"1,439.26","4,867","7,398,870",0.3039,"1,601,662","2,410,502",24,TSE
3034 羛碟,2025/2/14,494.509,"2,771","1,520,308",0.4554,"608,511","331,639",24,TSE
2308 笷筿,2025/2/14,391.9418,"5,005","2,011,567",0.1927,"2,597,543","1,041,615",28,TSE
3711 らるщ北,2025/2/14,167.0968,"29,872","5,190,016",0.6764,"4,416,486","772,885",24,TSE
2345 醇ü,2025/2/14,710.0196,"4,589","3,329,193",0.8178,"561,118","406,810",27,TSE
6669 絥縪,2025/2/14,646.9618,"2,853","5,952,651",1.5352,"185,841","380,044",25,TSE
2059 打,2025/2/14,"1,650.83",770,"1,297,156",0.808,"95,297","159,623",28,TSE
3008 ミ,2025/2/14,"2,501.20",603,"1,624,239",0.4518,"133,468","356,360",26,TSE
2379 风琑,2025/2/14,504.2167,"2,500","1,370,970",0.4875,"512,864","281,049",24,TSE
2330 縩筿,2025/2/13,"1,066.10","35,681","38,806,197",0.1376,"25,932,733","28,266,679",24,TSE
2454 羛祇,2025/2/13,"1,453.61","4,801","7,239,919",0.2998,"1,601,662","2,434,527",24,TSE
3034 羛碟,2025/2/13,499.0458,"6,467","3,560,994",1.0628,"608,511","334,681",24,TSE
2308 笷筿,2025/2/13,395.8514,"6,701","2,708,460",0.258,"2,597,543","1,052,005",28,TSE
3711 らるщ北,2025/2/13,162.8,"21,569","3,652,521",0.4884,"4,416,486","753,011",24,TSE
2345 醇ü,2025/2/13,710.0196,"6,080","4,436,059",1.0836,"561,118","406,810",27,TSE
6669 絥縪,2025/2/13,670.6891,"2,200","4,756,890",1.1838,"185,841","393,982",25,TSE
2059 打,2025/2/13,"1,645.90","1,335","2,240,002",1.4009,"95,297","159,146",28,TSE
3008 ミ,2025/2/13,"2,533.99",453,"1,231,780",0.3394,"133,468","361,031",26,TSE
2379 风琑,2025/2/13,510.6574,"2,936","1,626,685",0.5725,"512,864","284,639",24,TSE
2330 縩筿,2025/2/12,"1,075.88","26,190","28,966,591",0.101,"25,932,733","28,526,007",24,TSE
2454 羛祇,2025/2/12,"1,420.14","8,078","12,184,246",0.5044,"1,601,662","2,378,469",24,TSE
3034 羛碟,2025/2/12,495.4164,"2,564","1,402,045",0.4214,"608,511","332,247",24,TSE
2308 笷筿,2025/2/12,391.9418,"3,998","1,610,368",0.1539,"2,597,543","1,041,615",28,TSE
3711 らるщ北,2025/2/12,158.0259,"9,277","1,543,474",0.2101,"4,416,486","730,928",24,TSE
2345 醇ü,2025/2/12,716.875,"6,525","4,900,070",1.1629,"561,118","410,738",27,TSE
6669 絥縪,2025/2/12,702.3253,"1,706","3,832,294",0.918,"185,841","412,567",25,TSE
2059 打,2025/2/12,"1,631.12","1,375","2,250,710",1.4429,"95,297","157,717",28,TSE
3008 ミ,2025/2/12,"2,524.62",511,"1,384,473",0.3829,"133,468","359,697",26,TSE
2379 风琑,2025/2/12,512.4976,"2,362","1,324,581",0.4606,"512,864","285,665",24,TSE
2330 縩筿,2025/2/11,"1,085.66","21,023","23,294,288",0.0811,"25,932,733","28,785,334",24,TSE
2454 羛祇,2025/2/11,"1,444.05","8,734","13,207,679",0.5453,"1,601,662","2,418,510",24,TSE
3034 羛碟,2025/2/11,488.1575,"1,595","859,832",0.2621,"608,511","327,379",24,TSE
2308 笷筿,2025/2/11,392.9192,"6,933","2,800,840",0.2669,"2,597,543","1,044,212",28,TSE
3711 らるщ北,2025/2/11,159.9355,"14,454","2,423,630",0.3273,"4,416,486","739,761",24,TSE
2345 醇ü,2025/2/11,757.0278,"4,844","3,724,061",0.8633,"561,118","433,744",27,TSE
6669 絥縪,2025/2/11,703.9071,"1,860","4,150,169",1.0009,"185,841","413,496",25,TSE
2059 打,2025/2/11,"1,596.63","1,130","1,812,241",1.1858,"95,297","154,381",28,TSE
3008 ミ,2025/2/11,"2,543.36",509,"1,384,845",0.3814,"133,468","362,366",26,TSE
2379 风琑,2025/2/11,514.3378,"2,316","1,290,414",0.4516,"512,864","286,691",24,TSE
2330 縩筿,2025/2/10,"1,080.77","31,037","34,425,517",0.1197,"25,932,733","28,655,670",24,TSE
2454 羛祇,2025/2/10,"1,415.36","9,291","13,801,284",0.5801,"1,601,662","2,370,460",24,TSE
3034 羛碟,2025/2/10,488.1575,"2,833","1,527,224",0.4656,"608,511","327,379",24,TSE
2308 笷筿,2025/2/10,395.3627,"5,455","2,214,491",0.21,"2,597,543","1,050,706",28,TSE
3711 らるщ北,2025/2/10,158.9807,"20,326","3,373,505",0.4602,"4,416,486","735,345",24,TSE
2345 醇ü,2025/2/10,739.3997,"4,587","3,488,711",0.8175,"561,118","423,644",27,TSE
6669 絥縪,2025/2/10,688.089,"1,318","2,847,221",0.7092,"185,841","404,204",25,TSE
2059 打,2025/2/10,"1,547.35","1,620","2,569,471",1.6999,"95,297","149,616",28,TSE
3008 ミ,2025/2/10,"2,543.36","1,192","3,268,121",0.8931,"133,468","362,366",26,TSE
2379 风琑,2025/2/10,512.4976,"3,577","1,974,828",0.6975,"512,864","285,665",24,TSE
2330 縩筿,2025/2/7,"1,100.33","31,107","34,745,052",0.12,"25,932,733","29,174,325",24,TSE
2454 羛祇,2025/2/7,"1,458.39","7,062","10,728,691",0.4409,"1,601,662","2,442,535",24,TSE
3034 羛碟,2025/2/7,493.6017,"1,462","796,239",0.2403,"608,511","331,030",24,TSE
2308 笷筿,2025/2/7,405.6255,"4,903","2,022,822",0.1888,"2,597,543","1,077,980",28,TSE
3711 らるщ北,2025/2/7,157.071,"16,082","2,643,622",0.3641,"4,416,486","726,512",24,TSE
2345 醇ü,2025/2/7,758.0071,"5,059","3,879,606",0.9016,"561,118","434,305",27,TSE
6669 絥縪,2025/2/7,692.8344,"1,910","4,170,349",1.0278,"185,841","406,991",25,TSE
2059 打,2025/2/7,"1,542.42","1,727","2,667,753",1.8122,"95,297","149,140",28,TSE
3008 ミ,2025/2/7,"2,618.30",628,"1,759,314",0.4705,"133,468","373,044",26,TSE
2379 风琑,2025/2/7,508.8172,"4,053","2,232,680",0.7903,"512,864","283,614",24,TSE
2330 縩筿,2025/2/6,"1,090.55","33,768","37,638,807",0.1302,"25,932,733","28,914,998",24,TSE
2454 羛祇,2025/2/6,"1,458.39","9,633","14,822,104",0.6014,"1,601,688","2,442,574",24,TSE
3034 羛碟,2025/2/6,496.3238,"4,113","2,253,297",0.6759,"608,511","332,856",24,TSE
2308 笷筿,2025/2/6,407.5804,"8,942","3,710,017",0.3442,"2,597,543","1,083,176",28,TSE
3711 らるщ北,2025/2/6,153.7291,"8,723","1,414,804",0.1975,"4,416,486","711,054",24,TSE
2345 醇ü,2025/2/6,743.3171,"4,765","3,607,246",0.8492,"561,118","425,888",27,TSE
6669 絥縪,2025/2/6,670.6891,"1,959","4,148,718",1.0541,"185,841","393,982",25,TSE
2059 打,2025/2/6,"1,404.44",972,"1,402,366",1.02,"95,297","135,798",28,TSE
3008 ミ,2025/2/6,"2,632.35","1,026","2,876,220",0.7687,"133,468","375,046",26,TSE
2379 风琑,2025/2/6,495.9357,"7,191","3,910,128",1.4021,"512,864","276,434",24,TSE
2330 縩筿,2025/2/5,"1,085.66","43,082","47,931,709",0.1661,"25,932,733","28,785,334",24,TSE
2454 羛祇,2025/2/5,"1,458.39","9,272","14,081,050",0.5789,"1,601,688","2,442,574",24,TSE
3034 羛碟,2025/2/5,489.0649,"4,236","2,270,356",0.6961,"608,511","327,988",24,TSE
2308 笷筿,2025/2/5,396.3401,"6,794","2,761,080",0.2616,"2,597,543","1,053,304",28,TSE
3711 らるщ北,2025/2/5,154.2065,"16,100","2,598,102",0.3645,"4,416,486","713,262",24,TSE
2345 醇ü,2025/2/5,743.3171,"4,899","3,696,419",0.8731,"561,118","425,888",27,TSE
6669 絥縪,2025/2/5,662.78,"2,510","5,257,395",1.3506,"185,841","389,336",25,TSE
2059 打,2025/2/5,"1,389.66","1,077","1,521,172",1.1302,"95,297","134,369",28,TSE
3008 ミ,2025/2/5,"2,632.35",869,"2,434,084",0.6511,"133,468","375,046",26,TSE
2379 风琑,2025/2/5,520.7785,"6,304","3,634,345",1.2292,"512,864","290,281",24,TSE
2330 縩筿,2025/2/4,"1,070.99","57,904","63,132,252",0.2233,"25,932,733","28,396,343",24,TSE
2454 羛祇,2025/2/4,"1,424.92","8,418","12,648,914",0.5256,"1,601,688","2,386,515",24,TSE
3034 羛碟,2025/2/4,489.0649,"4,418","2,384,747",0.726,"608,511","327,988",24,TSE
2308 笷筿,2025/2/4,388.0321,"9,832","3,943,454",0.3785,"2,597,543","1,031,225",28,TSE
3711 らるщ北,2025/2/4,150.3871,"20,365","3,236,325",0.4611,"4,416,486","695,596",24,TSE
2345 醇ü,2025/2/4,718.8336,"7,324","5,346,365",1.3053,"561,118","411,861",27,TSE
6669 絥縪,2025/2/4,635.8892,"5,478","11,300,072",2.9477,"185,841","373,540",25,TSE
2059 打,2025/2/4,"1,325.59","1,475","2,033,452",1.5478,"95,297","128,175",28,TSE
3008 ミ,2025/2/4,"2,599.56",951,"2,653,371",0.7125,"133,468","370,374",26,TSE
2379 风琑,2025/2/4,523.5389,"6,709","3,787,427",1.3081,"512,864","291,819",24,TSE
2330 縩筿,2025/2/3,"1,046.54","113,031","120,769,676",0.4359,"25,932,733","27,748,025",24,TSE
2454 羛祇,2025/2/3,"1,434.48","19,472","28,977,442",1.2157,"1,601,688","2,402,532",24,TSE
3034 羛碟,2025/2/3,484.5281,"5,380","2,844,792",0.8841,"608,511","324,945",24,TSE
2308 笷筿,2025/2/3,389.987,"21,442","8,562,086",0.8255,"2,597,543","1,036,420",28,TSE
3711 らるщ北,2025/2/3,153.7291,"38,085","6,165,330",0.8623,"4,416,486","711,054",24,TSE
2345 醇ü,2025/2/3,699.2469,"9,908","6,958,189",1.7658,"561,118","400,638",27,TSE
6669 絥縪,2025/2/3,639.0528,809,"1,635,553",0.4353,"185,841","375,398",25,TSE
2059 打,2025/2/3,"1,350.23","1,371","1,889,703",1.4387,"95,297","130,557",28,TSE
3008 ミ,2025/2/3,"2,651.09","1,787","4,978,006",1.3389,"133,468","377,715",26,TSE
2379 风琑,2025/2/3,486.7347,"3,239","1,710,553",0.6316,"512,864","271,305",24,TSE
2330 縩筿,2025/1/22,"1,110.11","45,996","52,510,666",0.1774,"25,932,733","29,433,652",24,TSE
2454 羛祇,2025/1/22,"1,401.01","6,939","10,271,774",0.4332,"1,601,688","2,346,473",24,TSE
3034 羛碟,2025/1/22,475.4546,"3,062","1,596,839",0.5032,"608,511","318,860",24,TSE
2308 笷筿,2025/1/22,427.6173,"10,034","4,349,995",0.3863,"2,597,543","1,136,425",28,TSE
3711 らるщ北,2025/1/22,169.0065,"24,592","4,336,313",0.557,"4,414,931","781,443",24,TSE
2345 醇ü,2025/1/22,747.2344,"6,744","5,112,487",1.2019,"561,118","428,133",27,TSE
6669 絥縪,2025/1/22,708.6526,"5,338","12,190,839",2.8723,"185,841","416,283",25,TSE
2059 打,2025/1/22,"1,498.07",838,"1,271,351",0.8794,"95,297","144,852",28,TSE
3008 ミ,2025/1/22,"2,576.14",786,"2,175,558",0.5889,"133,468","367,038",26,TSE
2379 风琑,2025/1/22,498.6961,"2,081","1,129,947",0.4058,"512,864","277,972",24,TSE
2330 縩筿,2025/1/21,"1,095.44","24,368","27,256,307",0.094,"25,932,733","29,044,661",24,TSE
2454 羛祇,2025/1/21,"1,401.01","4,729","6,929,917",0.2953,"1,601,688","2,346,473",24,TSE
3034 羛碟,2025/1/21,470.0104,"3,225","1,662,733",0.53,"608,511","315,209",24,TSE
2308 笷筿,2025/1/21,411.9787,"6,714","2,837,203",0.2585,"2,597,543","1,094,865",28,TSE
3711 らるщ北,2025/1/21,164.2323,"9,983","1,715,577",0.2261,"4,414,931","759,368",24,TSE
2345 醇ü,2025/1/21,727.6477,"3,470","2,582,273",0.6184,"561,118","416,911",27,TSE
6669 絥縪,2025/1/21,748.1979,"3,005","7,148,017",1.617,"185,841","439,513",25,TSE
2059 打,2025/1/21,"1,463.57",926,"1,373,129",0.9717,"95,297","141,516",28,TSE
3008 ミ,2025/1/21,"2,590.20","1,115","3,108,463",0.8354,"133,468","369,040",26,TSE
2379 风琑,2025/1/21,496.8559,"1,427","772,467",0.2782,"512,864","276,946",24,TSE
2330 縩筿,2025/1/20,"1,095.44","32,062","36,076,248",0.1236,"25,932,733","29,044,661",24,TSE
2454 羛祇,2025/1/20,"1,381.89","4,054","5,848,835",0.2531,"1,601,688","2,314,439",24,TSE
3034 羛碟,2025/1/20,453.678,"1,661","832,755",0.273,"608,511","304,256",24,TSE
2308 笷筿,2025/1/20,417.3545,"4,795","2,051,535",0.1846,"2,597,543","1,109,151",28,TSE
3711 らるщ北,2025/1/20,164.2323,"15,868","2,715,284",0.3594,"4,414,931","759,368",24,TSE
2345 醇ü,2025/1/20,720.7923,"2,443","1,789,131",0.4354,"561,118","412,983",27,TSE
6669 絥縪,2025/1/20,775.0888,"2,202","5,379,633",1.1849,"185,841","455,310",25,TSE
2059 打,2025/1/20,"1,438.93",632,"913,333",0.6632,"95,297","139,134",28,TSE
3008 ミ,2025/1/20,"2,580.83",727,"2,003,368",0.5447,"133,468","367,705",26,TSE
2379 风琑,2025/1/20,495.0156,"1,995","1,076,080",0.389,"512,864","275,921",24,TSE
2330 縩筿,2025/1/17,"1,095.44","60,857","67,663,576",0.2347,"25,932,733","29,044,661",24,TSE
2454 羛祇,2025/1/17,"1,367.54","5,593","8,016,913",0.3492,"1,601,688","2,290,414",24,TSE
3034 羛碟,2025/1/17,459.1222,"3,151","1,594,946",0.5178,"608,511","307,907",24,TSE
2308 笷筿,2025/1/17,412.4674,"6,581","2,771,287",0.2534,"2,597,543","1,096,163",28,TSE
3711 らるщ北,2025/1/17,158.5033,"13,290","2,198,652",0.301,"4,414,931","732,878",24,TSE
2345 醇ü,2025/1/17,718.8336,"2,935","2,138,672",0.5231,"561,118","411,861",27,TSE
6669 絥縪,2025/1/17,764.0161,"1,760","4,195,333",0.947,"185,841","448,806",25,TSE
2059 打,2025/1/17,"1,389.66",320,"452,526",0.3358,"95,297","134,369",28,TSE
3008 ミ,2025/1/17,"2,557.41","1,094","2,982,427",0.8197,"133,468","364,368",26,TSE
2379 风琑,2025/1/17,495.0156,"2,663","1,428,859",0.5192,"512,864","275,921",24,TSE
2330 縩筿,2025/1/16,"1,080.77","49,872","54,934,128",0.1923,"25,932,733","28,655,670",24,TSE
2454 羛祇,2025/1/16,"1,396.23","7,526","10,959,335",0.4699,"1,601,688","2,338,464",24,TSE
3034 羛碟,2025/1/16,458.2148,"1,974","1,002,174",0.3244,"608,511","307,298",24,TSE
2308 笷筿,2025/1/16,409.0465,"9,885","4,120,907",0.3806,"2,597,543","1,087,072",28,TSE
3711 らるщ北,2025/1/16,157.5484,"16,764","2,794,793",0.3797,"4,414,931","728,464",24,TSE
2345 醇ü,2025/1/16,715.8956,"4,476","3,308,841",0.7977,"561,118","410,177",27,TSE
6669 絥縪,2025/1/16,757.6888,"2,382","5,748,401",1.2817,"185,841","445,089",25,TSE
2059 打,2025/1/16,"1,389.66",545,"767,190",0.5719,"95,297","134,369",28,TSE
3008 ミ,2025/1/16,"2,585.51","1,398","3,873,477",1.0474,"133,468","368,372",26,TSE
2379 风琑,2025/1/16,483.9744,"1,682","890,822",0.328,"512,864","269,766",24,TSE
2330 縩筿,2025/1/15,"1,041.65","37,966","40,677,529",0.1464,"25,932,733","27,618,361",24,TSE
2454 羛祇,2025/1/15,"1,357.98","6,608","9,392,555",0.4126,"1,601,688","2,274,397",24,TSE
3034 羛碟,2025/1/15,460.0295,"3,305","1,673,784",0.5431,"608,511","308,515",24,TSE
2308 笷筿,2025/1/15,391.4531,"9,458","3,794,806",0.3641,"2,597,543","1,040,316",28,TSE
3711 らるщ北,2025/1/15,154.2065,"12,483","2,009,363",0.2827,"4,414,931","713,011",24,TSE
2345 醇ü,2025/1/15,709.0403,"4,196","3,048,656",0.7478,"561,118","406,249",27,TSE
6669 絥縪,2025/1/15,737.1252,"2,248","5,305,507",1.2096,"185,841","433,009",25,TSE
2059 打,2025/1/15,"1,355.16",577,"798,766",0.6055,"95,297","131,033",28,TSE
3008 ミ,2025/1/15,"2,533.99","1,295","3,509,595",0.9703,"133,468","361,031",26,TSE
2379 风琑,2025/1/15,479.3739,"1,592","827,347",0.3104,"512,864","267,202",24,TSE
2330 縩筿,2025/1/14,"1,066.10","31,280","33,915,048",0.1206,"25,932,733","28,266,679",24,TSE
2454 羛祇,2025/1/14,"1,338.85","5,672","7,934,393",0.3541,"1,601,688","2,242,363",24,TSE
3034 羛碟,2025/1/14,457.3074,"3,517","1,752,448",0.578,"608,511","306,690",24,TSE
2308 笷筿,2025/1/14,400.7385,"10,194","4,162,323",0.3924,"2,597,543","1,064,993",28,TSE
3711 らるщ北,2025/1/14,153.7291,"13,553","2,190,083",0.307,"4,414,931","710,804",24,TSE
2345 醇ü,2025/1/14,721.7717,"6,584","4,777,955",1.1734,"561,118","413,544",27,TSE
6669 絥縪,2025/1/14,771.9251,"1,508","3,665,590",0.8114,"185,841","453,452",25,TSE
2059 打,2025/1/14,"1,394.58",516,"725,398",0.5415,"95,297","134,845",28,TSE
3008 ミ,2025/1/14,"2,491.83",769,"2,035,583",0.5762,"133,468","355,025",26,TSE
2379 风琑,2025/1/14,477.5337,"1,166","604,466",0.2274,"512,864","266,176",24,TSE
2330 縩筿,2025/1/13,"1,051.43","62,629","68,093,421",0.2415,"25,932,733","27,877,688",24,TSE
2454 羛祇,2025/1/13,"1,329.29","10,467","14,785,600",0.6535,"1,601,688","2,226,346",24,TSE
3034 羛碟,2025/1/13,439.1603,"2,579","1,250,889",0.4238,"608,511","294,520",24,TSE
2308 笷筿,2025/1/13,390.9644,"9,734","3,938,130",0.3747,"2,597,543","1,039,017",28,TSE
3711 らるщ北,2025/1/13,155.1613,"15,674","2,559,933",0.355,"4,414,931","717,426",24,TSE
2345 醇ü,2025/1/13,684.5568,"8,128","5,730,453",1.4485,"561,118","392,221",27,TSE
6669 絥縪,2025/1/13,767.1797,"2,862","7,016,131",1.54,"185,841","450,664",25,TSE
2059 打,2025/1/13,"1,379.80","1,136","1,608,464",1.1921,"95,297","133,416",28,TSE
3008 ミ,2025/1/13,"2,487.15","2,060","5,438,442",1.5434,"133,468","354,358",26,TSE
2379 风琑,2025/1/13,473.8533,"2,798","1,438,395",0.5456,"512,864","264,125",24,TSE
2330 縩筿,2025/1/10,"1,075.88","24,475","26,996,697",0.0944,"25,932,733","28,526,007",24,TSE
2454 羛祇,2025/1/10,"1,401.01","7,456","10,977,244",0.4655,"1,601,688","2,346,473",24,TSE
3034 羛碟,2025/1/10,442.7897,"1,860","911,300",0.3057,"608,511","296,954",24,TSE
2308 笷筿,2025/1/10,410.5126,"4,405","1,843,054",0.1696,"2,597,543","1,090,968",28,TSE
3711 らるщ北,2025/1/10,160.8904,"10,794","1,812,746",0.2445,"4,414,931","743,916",24,TSE
2345 醇ü,2025/1/10,713.937,"6,603","4,818,479",1.1768,"561,118","409,055",27,TSE
6669 絥縪,2025/1/10,801.9796,"3,086","7,975,796",1.6606,"185,841","471,106",25,TSE
2059 打,2025/1/10,"1,453.72","1,009","1,512,134",1.0588,"95,297","140,563",28,TSE
